ID,Assay,Cell type,Virus type,Readout,Entry,
NVIC0001,Reporter assay,"HeLa or 293 T/17_x000D_
",GFP,Fluorescence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5338263/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5954062/
,,,Luciferase,Luminescence,,
,Cell viability,HeLa and H358,wt,CPE (kit),,
,Titer reduction,HeLa,,CPE (visual),,
NVIC0002,Reporter assay,HeLa or 293 T/17,GFP,Fluorescence,Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5338263/,
,,,Luciferase,Luminescence,,
,Cell viability,HeLa and H358,wt,CPE (kit),,
,Titer reduction,HeLa,,CPE (visual),,
NVIC0003,Reporter assay,NCI-H358,GFP,Fluorescence,Https://www.ncbi.nlm.nih.gov/pubmed/28629988,
,,,Luciferase,Luminescence,,
,,HeLa,,,,
,Cell viability,NCI-H358,wt,CPE (kit),,
,,HeLa,,,,
,Titer reduction,NCI-H358,wt,cell death (visual),,
,,HeLa,,,,
NVIC0004,Cell viability,Vero CCL-81,wt,CPE (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5954062/,
,Time of addition,,Luc-GFP,Fluorescence microscopy,,
,,,,Luminescence,,
,,,,Titration (CPEv),,
,Nucleoside addition,,wt,CPE (visual),,
,Efficacy in vivo,Hamsters,wt,Days of survival,,
,Viral load in vivo,,,qRT-PCR,,
,,,,Histopathology,,
,Serology in vivo,,,Plaque reduction (CPEv),,
NVIC0005,Syncytia formation,Vero,proteins F/G,Syncytia size and number (visual),https://pubs.acs.org/doi/full/10.1021/jm900411s,
,Cell viability,,-,CPE (kit),,
,Syncytia formation,,wt,Syncytia size and number (visual),,
NVIC0006,Syncytia formation,Vero,proteins F/G,Syncytia size and number (visual),https://pubs.acs.org/doi/full/10.1021/jm900411s,
,Cell viability,,-,CPE (kit),,
,Syncytia formation,,wt,Syncytia size and number (visual),,
NVIC0007,Syncytia formation,Vero,proteins F/G,Syncytia size and number (visual),https://pubs.acs.org/doi/full/10.1021/jm900411s,
,Cell viability,,-,CPE (kit),,
,Syncytia formation,,wt,Syncytia size and number (visual),,
NVIC0008,Syncytia formation,Vero,proteins F/G,Syncytia size and number (visual),https://pubs.acs.org/doi/full/10.1021/jm900411s,
,Cell viability,,-,CPE (kit),,
,Syncytia formation,,wt,Syncytia size and number (visual),,
NVIC0009,Syncytia formation,Vero,proteins F/G,Syncytia size and number (visual),https://pubs.acs.org/doi/full/10.1021/jm900411s,
,Cell viability,,-,CPE (kit),,
,Syncytia formation,,wt,Syncytia size and number (visual),,
NVIC0010,Syncytia formation,Vero,proteins F/G,Syncytia size and number (visual),https://pubs.acs.org/doi/full/10.1021/jm900411s,
,Cell viability,,-,CPE (kit),,
,Syncytia formation,,wt,Syncytia size and number (visual),,
NVIC0011,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.omicsonline.org/open-access/virtual-screening-for-identification-of-small-lead-compound-inhibitors-ofnipah-virus-attachment-glycoprotein-2153-0645-1000180.pdf,
NVIC0012,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.omicsonline.org/open-access/virtual-screening-for-identification-of-small-lead-compound-inhibitors-ofnipah-virus-attachment-glycoprotein-2153-0645-1000180.pdf,
NVIC0013,Titer reduction,Vero,wt,CPE (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3994909/,
,Dose response,,,CPE (kit),,
,Time of addition,,,,,
NVIC0014,Titer reduction,Vero,wt,CPE (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3994909/,
,Dose response,,,CPE (kit),,
,Time of addition,,,,,
NVIC0015,Titer reduction,Vero,wt,CPE (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3994909/,
,Dose response,,,CPE (kit),,
,Time of addition,,,,,
NVIC0016,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.omicsonline.org/open-access/virtual-screening-for-identification-of-small-lead-compound-inhibitors-ofnipah-virus-attachment-glycoprotein-2153-0645-1000180.pdf,
NVIC0017,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.omicsonline.org/open-access/virtual-screening-for-identification-of-small-lead-compound-inhibitors-ofnipah-virus-attachment-glycoprotein-2153-0645-1000180.pdf,
NVIC0018,Titer reduction,Vero,wt,Plaque assay (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4810700/,
NVIC0019,Cell viability,Vero E6,wt,CPE (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1472238/,
NVIC0020,Cell viability,Vero E6,wt,CPE (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1472238/,
NVIC0021,Cell viability,293T,GFP,CPE (kit),Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5100748/,
,,,Luciferase,,,
,,,wt,,,
,Cell viability,Vero E6,wt,CPE (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1472238/,
NVIC0022,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0023,Cell viability,293T,GFP,CPE (kit),Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5100748/,
6-aza-uridine,,,Luciferase,,,
,,,wt,,,
,Cell viability,Vero E6,wt,CPE (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1472238/,
,Toxicity in vivo,Hamsters,,Days of survival,,
,Viral load in vivo,,,Titration (CPEv),,
,,,,RT-PCR,,
,Serology in vivo,,,Elisa IgG a-NiV,,
NVIC0024,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2781006/,
,Cell viability,,,Citotoxicity (kit),,
,Time of addition,,,,,
,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
,Cell viability,,,Citotoxicity (kit),,
NVIC0025,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2781006/,
,Cell viability,,,Citotoxicity (kit),,
,Time of addition,,,,,
NVIC0026,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2781006/,
,Cell viability,,,Citotoxicity (kit),,
,Time of addition,,,,,
NVIC0027,Titer reduction,Vero,wt,Plaque assay (visual),Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2978725/,
NVIC0028,Titer reduction,Vero,wt,Plaque assay (visual),Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2978725/,
NVIC0029,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
,Cell viability,,,Citotoxicity (kit),,
NVIC0030,Titer reduction,SAE,wt,Plaque assay (visual),Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4442521/,
NVIC0031,Replication,293T,Luc- reporter,Luminescence,https://www.sciencedirect.com/science/article/pii/S0166354215001126?via%3Dihub,
NVIC0032,Cell viability,293T,GFP,CPE (kit),Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5100748/,
,,,Luciferase,,,
,,,wt,,,
NVIC0033,Enzimatic activity (in vitro),-,Peptides from F/G,FRET (HTS),Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3993759/,
,Enzimatic activity (endogenous),293FT,pseudotype NiV-F/G prots,WB,,
,Replication,,,Luminescence,,
,Cell viability,,-,Citotoxicity (kit),,
NVIC0034,Enzimatic activity (endogenous),293FT,pseudotype NiV-F/G prots,WB,Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3993759/,
,Replication,,,Luminescence,,
,Cell viability,,-,Citotoxicity (kit),,
NVIC0035,"CAREFUL, this is a review and doesn't specifically say anything about this molecule inhibiting NiV",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4428208/,
NVIC0036,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0037,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0038,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0039,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0040,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0041,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0042,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0043,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0044,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0045,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0046,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0047,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0048,Inhibition of spread,293T,pseudotype,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
,Viral release,Vero,wt,Titration (CPEv),,
,Replication,,,Immunostaining (visual),,
,Cell viability,HeLa,wt,Titration (CPEv),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2888097/,
,Time of addition,,,,,
,Efficacy in vivo,Hamsters,wt,Days of survival,,
,Efficacy in vivo,Ferrets,wt,Days of survival,Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2772715/,
,Serology in vivo,,,qRT-PCR,,
,Inhibition of spread,Not described,,Not described,,
NVIC0049,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
,Cell viability,,,Citotoxicity (kit),,
NVIC0050,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
,Cell viability,,,Citotoxicity (kit),,
NVIC0051,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0052,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0053,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0054,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0055,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0056,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0057,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0058,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0059,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0060,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0061,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0062,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0063,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0064,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0065,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0066,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0067,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0068,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0069,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0070,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0071,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0072,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0073,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0074,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0075,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0076,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0077,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0078,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0079,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0080,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0081,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0082,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0083,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0084,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0085,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0086,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0088,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0089,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0090,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0091,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0092,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0093,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0094,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0095,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0096,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0097,Titer reduction,HeLa,wt,Plaque assay (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698975/,
,Cell fusion,Vero,NiV F/G prots,Syncitia formation (microscopy),,
,Virus entry,293T,Pseudotype,Bla activity (fluorescence),,
NVIC0098,Reporter assay,HeLa or 293 T/17,GFP,Fluorescence,Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5338263/,
,,,Luciferase,Luminescence,,
,Antigen reduction assay,HeLa,wt,Immunostaining,,
,Cell viability,HeLa and H358,,CPE (kit),,
,Titer reduction,HeLa,,CPE (visual),,
